SubVertical,total_startups
nan,929
Online Lending Platform,11
Online Pharmacy,10
Food Delivery Platform,8
Education,5
Online Education Platform,5
Online Lending,5
Online Learning Platform,5
Online lending platform,5
Online Food Delivery,4
Non-Banking Financial Company,4
Online Food Delivery Platform,3
B2B Marketplace,3
Data Analytics platform,3
Online Furniture Store,3
Online learning platform,3
ECommerce Marketplace,3
Online Payment Gateway,3
SaaS,3
E-learning,3
Online Gifting platform,3
Online Marketplace,3
Agri-tech,3
Logistics,3
Online platform for Higher Education Services,3
Online Insurance Platform,3
Online Insurance Aggregator,3
Fitness Mobile App,3
Micro Lending Platform,2
Algorithmic Trading,2
Online marketplace,2
ECommerce SAAS Solutions,2
Financial Services,2
Online Rental Marketplace,2
AI Based Solutions Platform,2
Brewery,2
Wealth Management,2
Agritech,2
Online fashion marketplace,2
Medical Supplies eTailer,2
Customer Engagement Platform,2
Fashion eTailer,2
Food and Beverages,2
Online Grocery Shop,2
Health-Tech platform,2
Payment Gateway,2
eCommerce,2
Online fashion rental platform,2
Used Furniture & Appliances Marketplace,2
Digital Lending Platform,2
Cabs,2
Mobile Wallet & ECommerce platform,2
Online Women\\xe2\\x80\\x99s Fashion Marketplace,2
Big Data Analytics Platform,2
IT,2
Fashion Apparel eTailer,2
Storytelling platform,2
Co-Working Spaces,2
B2B Logistics provider,2
Artificial Intelligence,2
Digital Payment Platform,2
Social Commerce,2
Retail,2
Mobile Wallet,2
QSR Chain,2
Online Loan Matchmaking Platform,2
FinTech,2
Online Grocery Store,2
Optimization,2
Online Travel Agency,2
CoWorking Spaces booking platform,2
Online Doctor Consulting platform,2
Online Real Estate Portal,2
Online insurance policy aggregator,2
Online Furniture Renting Platform,2
Parenting Mobile App,2
Micro Lending platform,2
App based cab hailing services,2
Online Home Rental Marketplace,2
Online loan platform,2
Online Insurance Selling Platform,2
Online Test Preparation Platform,2
Online Healthcare platform,2
Online peer-to-peer lending platform,2
On-Demand Washing & Dry Cleaning Services,2
Online ticket booking platform,2
Crowdfunding Platform,2
Food Ordering Mobile App,2
Food Delivery platform,2
Video Content Discovery Platform,2
Healthy Food Delivery platform,2
P2P Lending Platform,2
Cab Aggregation App,2
Mobile Services Marketplace,2
Beauty e-tailer,2
Real Estate Portal,2
Online Consumer Lending platform,2
Online Tax Filing Platform,2
Contact Management Mobile App,2
Online Travel Marketplace,2
Health Service Aggregator Platform,2
online lending platform,2
Medical Emergency Response App,2
Online Pharmacy Store,2
Online Lending platform,2
Online Food Ordering & Delivery Portal,2
Online Education Portal,2
Carpooling Mobile App,2
Conversational AI,1
Online Lending Platform For SME,1
Cyber Security solutions using AI,1
Platform for travel agents,1
Eyewear,1
Virtual Reality,1
Health and fitness based mobile App,1
SDN Solutions,1
Agri Decision Support Solution for farmers,1
Identity management platform,1
Buying Club for Small Businesses,1
Virtual Reality platform,1
SAAS Based Retail Analytics Solutions,1
Women Lingerie Store,1
Contract Management Software Solutions platform,1
Credit + payment mobile app,1
Computer Vision on Embedded Systems,1
Indian Sweets & Snacks etailer,1
Mobile Health Technology Solutions,1
Electric Vehicle Manufacturer,1
Car Rental Software Solutions,1
AR & VR platform,1
cloud-based software solutions company,1
Online designer jewellery marketplace,1
Online Meat Ordering platform,1
3D Printing Solutions for Edu space,1
Affordable non-emergency medical service health plans,1
Digital Documentation,1
AI Platform,1
Bicycle sharing Platform,1
Fresh Indian Tea Selling Platform across 112 countries,1
Energy Analytics startup,1
Digital Entertainment Company,1
Cloud based\\xc2\\xa0 health monitoring platform,1
SaaS-based predictive analytics platform,1
Assessment & Learning Platform,1
Apparel Rental platform,1
Safe Driving Data & Analytics platform,1
Professional Health Services Platform,1
App building platform,1
Digital payments solutions,1
Mobile games creator,1
Meat Retail Chain,1
Products For Shoolgoing Children,1
News portal,1
Fashion and Lifestyle Coupon Platform,1
speech recognition startup,1
SAAS based sales force automation services,1
in-video discovery platform,1
"TV Search, Guide and Remote mobile app",1
Super-specialty Hospital,1
Connected Transportation solutions,1
Alternative Lending,1
Breast Cancer Screening Solutions,1
Fresh Produce Selling portal,1
Women Apparel & Lifestyle etailer,1
Men\\xe2\\x80\\x99s Grooming Product etailer,1
Micro Lending Platform for eCommerce purchases,1
Personal Digital Assistant,1
Online Construction Materials Marketplace,1
Fin-Tech Platform,1
AI based pharmacy drugs insights platform,1
Viral Content and storytelling platform,1
Venture Capitalist,1
Payroll & Benefits Software solutions,1
School Student admissions platform,1
Mobile Based Education platform,1
Clothes and Apparel,1
Professional Car Drivers Hiring App,1
Music Education,1
Multi-lingual AI Platform for Businesses,1
Ethnic Indian Fashion Marketplace,1
Online Logistics Marketplace,1
Personal Assistant App,1
Virtual Reality Solutions,1
Jewellery Etailer,1
Clean Water Technology,1
Internet of Things Device manufacturer,1
Online Marketplace For Mother and Babycare Products,1
Integrated Kids Engagement Company,1
Online eyewear retailer,1
Logistics Intelligence platform,1
Aptitude Development Program,1
Curated Fashion ECommerce portal,1
Next Generation in-building connectivity,1
Connected Care App For Pregnant Women,1
Virtual health clinics,1
Chatbot creation tool,1
Designer Of Toys and Learning Projects For Kids,1
Education & learning Tech platform,1
Placement preparation and career growth training platform,1
Mobile games developer,1
IoT Based Energy Monitoring & Control,1
Treatment Development for Antibiotic-resistant diseases,1
IoT retail solutions,1
Business and customer engagement tools,1
Speech Recognition,1
Computer Vision And Artificial Intelligence (Ai) Platform,1
Cloud-based Software,1
Online freight aggregator,1
Personal Genomics,1
Cloud Data Security & Privacy Solutions,1
Baby & Kids Products Online Flash sales platform,1
financial services firm,1
Mobile Solutions for Social Impact,1
Digital Design,1
Education Solutions,1
Personal Loans & EMI solutions platform,1
Truck Network company,1
Online Certification programs,1
Education eCommerce platform,1
Pediatric Primary Healthcare Network,1
Art,1
Personalisation Technology Firm Focusing On The Food And Beverage Industry,1
Mobile based Logistics Service,1
Marketplace for International Freight,1
"Original Art, Digital Prints etailer",1
Medical Tourism platform,1
Credit-Based Lending Marketplace For Small And Medium Enterprises,1
Border Intrusion Alert Solutions,1
Travel Package Marketplace,1
Anti-Pollution,1
CRM Software for Healthcare space,1
Intelligent Sales Assistant,1
Online Jewellery etailer,1
Online Advertising Solutions,1
Online Fruit & Vegetable Marketplace,1
Warehouse Automation,1
Electronic Payments Solution Company,1
New and Used Cars Platform,1
Automobile parts marketplace,1
Startup Crowd-funding platform,1
Solar Rooftop system installation company,1
Health Food / Personal Care Marketplace,1
Digital marketing firm,1
